time,x_c,x_c_dot,gamma,gamma_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.001001001001001062e-01,-5.521864055145264683e-03,6.304002546095913151e-02,1.453654122752468414e+00,4.145851892974204311e+00
2.002002002002002123e-01,1.250343693495585551e-02,2.876059690671057267e-01,1.791138365580491998e+00,2.650275220035828827e+00
3.003003003003003046e-01,5.046935060298522735e-02,4.650496496066129914e-01,1.996853683573508231e+00,1.514296474079143362e+00
4.004004004004004247e-01,1.047767361131901470e-01,6.173741740389783184e-01,2.104496996484684690e+00,6.801538912030802297e-01
5.005005005005005447e-01,1.737601493768867189e-01,7.602557203903410610e-01,2.140461445488193171e+00,6.847573528724584802e-02
6.006006006006006093e-01,2.569737167860629001e-01,9.028198394945676775e-01,2.123104353514949416e+00,-3.957925617938961027e-01
7.007007007007007848e-01,3.546690887958280358e-01,1.050221581207489763e+00,2.064316937692557641e+00,-7.680793334501102576e-01
8.008008008008008494e-01,4.674813597970268741e-01,1.205132495268180337e+00,1.971321859924552333e+00,-1.084617690303480542e+00
9.009009009009009139e-01,5.962146068964567780e-01,1.368290762060311305e+00,1.848175568459151430e+00,-1.371057580211174409e+00
1.001001001001001089e+00,7.416581066074537931e-01,1.538667916092603116e+00,1.696914634810910094e+00,-1.648088310622800146e+00
1.101101101101101154e+00,9.043980566377449737e-01,1.713206288319439219e+00,1.518339396893178428e+00,-1.919734670427319045e+00
1.201201201201201219e+00,1.084600131388792743e+00,1.886519782966778358e+00,1.312986180021439298e+00,-2.185313022110110026e+00
1.301301301301301283e+00,1.281758036379686549e+00,2.050301361269792011e+00,1.081960849102739930e+00,-2.426254497220974304e+00
1.401401401401401570e+00,1.494413915512250224e+00,2.194196138588686562e+00,8.282365827897046895e-01,-2.633616450812149345e+00
1.501501501501501634e+00,1.719952667592675066e+00,2.305563490269023852e+00,5.571827483367802758e-01,-2.765454634507718890e+00
1.601601601601601699e+00,1.954567504623376362e+00,2.373925121015865614e+00,2.771971921734606714e-01,-2.806564682544101519e+00
1.701701701701701763e+00,2.193577946212513563e+00,2.393128058669247160e+00,-1.493066512129990683e-03,-2.743893797804236812e+00
1.801801801801801828e+00,2.432028299496562962e+00,2.363454573996554231e+00,-2.685079886295876350e-01,-2.576941941591561758e+00
1.901901901901902114e+00,2.665337413126506405e+00,2.291891247813071519e+00,-5.148269524522944840e-01,-2.335362538165838053e+00
2.002002002002002179e+00,2.889767691281402318e+00,2.187688997529869894e+00,-7.339145037077405842e-01,-2.035315758286250443e+00
2.102102102102102243e+00,3.102580255886861593e+00,2.061253836567305431e+00,-9.217350311117180617e-01,-1.712874338750636660e+00
2.202202202202202308e+00,3.301966963838863567e+00,1.920830213989405344e+00,-1.076773556507137686e+00,-1.389055087986464487e+00
2.302302302302302373e+00,3.486842444918367701e+00,1.772085764836541566e+00,-1.199591200510451872e+00,-1.070008622380995478e+00
2.402402402402402437e+00,3.656603935968066210e+00,1.619270069537471102e+00,-1.291913190172977899e+00,-7.790527330421832541e-01
2.502502502502502502e+00,3.810951774619854238e+00,1.464407803887886494e+00,-1.356370612988721636e+00,-5.142957752174777131e-01
2.602602602602602566e+00,3.949751116715694899e+00,1.308741222304657947e+00,-1.395747989026690838e+00,-2.771838087167454168e-01
2.702702702702703075e+00,4.072957644844412251e+00,1.152944018146733862e+00,-1.412709635450614787e+00,-6.572777739532802144e-02
2.802802802802803139e+00,4.180580699404763401e+00,9.974501867200782357e-01,-1.409616434783923511e+00,1.242376557196640807e-01
2.902902902902903204e+00,4.272672346955372014e+00,8.427103738129667621e-01,-1.388445364932569648e+00,2.959123522341362000e-01
3.003003003003003268e+00,4.349334306458372268e+00,6.892825680381002851e-01,-1.350831460773901593e+00,4.529339342177518546e-01
3.103103103103103333e+00,4.410735352896401729e+00,5.379490949669654132e-01,-1.298128105857724757e+00,5.977564862068803775e-01
3.203203203203203397e+00,4.457136690730028938e+00,3.897519200250679217e-01,-1.231515065114850538e+00,7.324193056042509475e-01
3.303303303303303462e+00,4.488920451563406466e+00,2.461795329218980644e-01,-1.152062913955106627e+00,8.530848748307634510e-01
3.403403403403403527e+00,4.506625144458073606e+00,1.087539881608312331e-01,-1.060978619095667153e+00,9.646232098961698975e-01
3.503503503503503591e+00,4.510970372817121543e+00,-2.038548344707402302e-02,-9.595302104251316466e-01,1.059564913947020681e+00
3.603603603603603656e+00,4.502886127659247784e+00,-1.391844229406260791e-01,-8.493142563794816580e-01,1.138363289532112299e+00
3.703703703703703720e+00,4.483521526171802662e+00,-2.453810298963948477e-01,-7.322048971304965237e-01,1.196218496783653773e+00
3.803803803803804229e+00,4.454241913872434289e+00,-3.369373522489360062e-01,-6.104273376639778315e-01,1.230511407714470318e+00
3.903903903903904293e+00,4.416602075881932876e+00,-4.121437963725488873e-01,-4.864932253952099495e-01,1.238287669043146355e+00
4.004004004004004358e+00,4.372299137236709043e+00,-4.699178950762422091e-01,-3.631152361381266847e-01,1.218999101596169421e+00
4.104104104104104422e+00,4.323106892368659082e+00,-5.099025893309132584e-01,-2.430545316300710690e-01,1.173844040542292300e+00
4.204204204204204487e+00,4.270800415455420662e+00,-5.323508705764098403e-01,-1.289383964456561893e-01,1.102618603324946323e+00
4.304304304304304551e+00,4.217083993385686291e+00,-5.382578673381175349e-01,-2.312869685540507037e-02,1.007711404821624468e+00
4.404404404404404616e+00,4.163529489828787788e+00,-5.293541256031103481e-01,7.238724375405766742e-02,8.964429523954001722e-01
4.504504504504504681e+00,4.111529317505730141e+00,-5.076122813547538914e-01,1.561065868452772010e-01,7.742016262169167939e-01
4.604604604604604745e+00,4.062269007429143208e+00,-4.749458188626485278e-01,2.270529378982800717e-01,6.414730235367001043e-01
4.704704704704704810e+00,4.016721174000284833e+00,-4.337981515734573579e-01,2.846782625254685173e-01,5.088967316036747679e-01
4.804804804804804874e+00,3.975642503462548216e+00,-3.860324268170541306e-01,3.289361776099076762e-01,3.759245719935258023e-01
4.904904904904904939e+00,3.939588979361984933e+00,-3.336861003988724761e-01,3.601251685985570328e-01,2.478279069724602934e-01
5.005005005005005003e+00,3.908928725231849199e+00,-2.785703044964334962e-01,3.788642415716118594e-01,1.278125076943897875e-01
5.105105105105105068e+00,3.883858448875547431e+00,-2.222683426449874045e-01,3.860266132055059640e-01,1.710783698843435299e-02
5.205205205205205132e+00,3.864420639955992609e+00,-1.662637342365512749e-01,3.826639483833126354e-01,-8.226706505180228501e-02
5.305305305305305197e+00,3.850519054175327138e+00,-1.118628761836259616e-01,3.699656269964959332e-01,-1.691916119355967307e-01
5.405405405405406150e+00,3.841934389547669859e+00,-6.020978049977605828e-02,3.492144005316825672e-01,-2.430860453047074543e-01
5.505505505505506214e+00,3.838340028142941396e+00,-1.229588188987857864e-02,3.217487957819936129e-01,-3.035747232264807138e-01
5.605605605605606279e+00,3.839318150452325273e+00,3.106095254350090679e-02,2.889334314726630382e-01,-3.507475643820309186e-01
5.705705705705706343e+00,3.844377296253143061e+00,6.913066484650580434e-02,2.521188469787689623e-01,-3.831366971834331836e-01
5.805805805805806408e+00,3.852968696241938051e+00,1.015544628866190818e-01,2.126469804729103352e-01,-4.035500784906436156e-01
5.905905905905906472e+00,3.864506762590937505e+00,1.279970844221018644e-01,1.717822080372609361e-01,-4.116047167865159451e-01
6.006006006006006537e+00,3.878386584100032231e+00,1.483371554296566419e-01,1.307092490916831051e-01,-4.078042976354008808e-01
6.106106106106106601e+00,3.894001963193116644e+00,1.626565117815559625e-01,9.050956081249950103e-02,-3.934647950821851259e-01
6.206206206206206666e+00,3.910761880939809476e+00,1.712759387932066280e-01,5.214728358163975286e-02,-3.717398455496038201e-01
6.306306306306306730e+00,3.928106974125365358e+00,1.744266584536795783e-01,1.641987520057595212e-02,-3.412083588523828759e-01
6.406406406406406795e+00,3.945519360080804727e+00,1.727087533007931885e-01,-1.599739640995602799e-02,-3.058660359298335241e-01
6.506506506506506859e+00,3.962534880141218796e+00,1.666076134022906330e-01,-4.460666782739149822e-02,-2.655987458064298368e-01
6.606606606606606924e+00,3.978748497783183513e+00,1.567758363027527135e-01,-6.905168082340952529e-02,-2.225346562866649669e-01
6.706706706706706989e+00,3.993819415428783604e+00,1.438840609275646998e-01,-8.912546560160472531e-02,-1.784284581207605802e-01
6.806806806806807053e+00,4.007473279578436021e+00,1.285733594395462309e-01,-1.047630561062261323e-01,-1.341008696611279416e-01
6.906906906906907118e+00,4.019501744636976959e+00,1.115138327537833624e-01,-1.160195800505618990e-01,-9.102925134828922238e-02
7.007007007007007182e+00,4.029761001985725954e+00,9.333166543891288636e-02,-1.230614062476471926e-01,-5.014919968691978341e-02
7.107107107107107247e+00,4.038168472461444836e+00,7.461007744714745482e-02,-1.261481197864867676e-01,-1.213674924678631410e-02
7.207207207207207311e+00,4.044698286123021624e+00,5.590050567172115403e-02,-1.256131177085617612e-01,2.214401985040904963e-02
7.307307307307307376e+00,4.049376129133205993e+00,3.768333331003494852e-02,-1.218502549358145004e-01,5.228828776636327419e-02
7.407407407407407440e+00,4.052273109383158101e+00,2.038271076212671770e-02,-1.152950829853357090e-01,7.791154108090764252e-02
7.507507507507508393e+00,4.053499285402373253e+00,4.353748420020880222e-03,-1.064102298488678183e-01,9.882348173462103536e-02
7.607607607607608458e+00,4.053196823280265981e+00,-1.011709621641871358e-02,-9.567051514896136866e-02,1.149630882452669089e-01
7.707707707707708522e+00,4.051533031117558359e+00,-2.281136494275264048e-02,-8.354944690330015633e-02,1.263632720627673456e-01
7.807807807807808587e+00,4.048693525576691599e+00,-3.359287938407829605e-02,-7.050894703624648041e-02,1.334593075793175376e-01
7.907907907907908651e+00,4.044875252080378125e+00,-4.235491286277526940e-02,-5.698322617032065135e-02,1.360357170974547669e-01
8.008008008008008716e+00,4.040280620601044426e+00,-4.910565926475435328e-02,-4.337994210889443980e-02,1.350737878450686269e-01
8.108108108108108780e+00,4.035111085940635611e+00,-5.385763073844959670e-02,-3.006121322749369731e-02,1.305541213437941273e-01
8.208208208208208845e+00,4.029562297992463904e+00,-5.669405093713587168e-02,-1.734630752224119304e-02,1.229534806191714680e-01
8.308308308308308909e+00,4.023819576214243021e+00,-5.776587316329423460e-02,-5.508358263916173295e-03,1.133160827846965146e-01
8.408408408408408974e+00,4.018053556250070102e+00,-5.718054677314172302e-02,5.239260229347909512e-03,1.010908871213602456e-01
8.508508508508509038e+00,4.012418177103592498e+00,-5.518060027633906600e-02,1.472262237732244530e-02,8.798127719317845596e-02
8.608608608608609103e+00,4.007047404471614449e+00,-5.194254253357227097e-02,2.282788400695946393e-02,7.392243449062221861e-02
8.708708708708709167e+00,4.002054283176765814e+00,-4.766818318806855664e-02,2.948806183689870603e-02,5.911569655365356279e-02
8.808808808808809232e+00,3.997530302536372648e+00,-4.260190701386926820e-02,3.467705871083024555e-02,4.451956684108269308e-02
8.908908908908909297e+00,3.993544870079674958e+00,-3.694697896400866988e-02,3.841417819240002668e-02,3.023567834626409226e-02
9.009009009009009361e+00,3.990146082217843837e+00,-3.091457687551362257e-02,4.075325118156759158e-02,1.663369211987291221e-02
9.109109109109109426e+00,3.987361629106677352e+00,-2.470392725520191221e-02,4.177909566954228493e-02,4.033172964607434526e-03
9.209209209209209490e+00,3.985200195533323608e+00,-1.849579299164452392e-02,4.160232018132174747e-02,-7.352899055078680746e-03
9.309309309309309555e+00,3.983653234942333476e+00,-1.245179755129215658e-02,4.035348241670429909e-02,-1.736900552400257036e-02
9.409409409409409619e+00,3.982697020159969625e+00,-6.716876493392480614e-03,3.817705890920460726e-02,-2.581845214076490883e-02
9.509509509509509684e+00,3.982294755859837831e+00,-1.399717851374246251e-03,3.522816601740260539e-02,-3.283617536734776549e-02
9.609609609609609748e+00,3.982399092038189092e+00,3.391782069763480453e-03,3.166353457296946367e-02,-3.813476745670629775e-02
9.709709709709709813e+00,3.982954235096641149e+00,7.596047285719172149e-03,2.764202181542052550e-02,-4.194334221256730555e-02
9.809809809809809877e+00,3.983898473285633735e+00,1.116075011733358262e-02,2.331645047571256554e-02,-4.424544457497537470e-02
9.909909909909909942e+00,3.985166326012913096e+00,1.405922272100232004e-02,1.883202486085970226e-02,-4.513686809115086129e-02
1.001001001001001001e+01,3.986690647969585832e+00,1.628973637179645384e-02,1.432346114934507537e-02,-4.483735494725546444e-02
1.011011011011011007e+01,3.988404678152572824e+00,1.785186153625689665e-02,9.910197241136042487e-03,-4.323473916742554685e-02
1.021021021021021014e+01,3.990243543471315046e+00,1.878502380272757677e-02,5.699171687106405898e-03,-4.072446740707199447e-02
1.031031031031031020e+01,3.992145936391133354e+00,1.913127750251890358e-02,1.779748421295241799e-03,-3.748219521760599166e-02
1.041041041041041026e+01,3.994055348442141273e+00,1.893441079571437854e-02,-1.776737915152291642e-03,-3.349225576059169929e-02
1.051051051051051033e+01,3.995920899729008990e+00,1.826673575439940328e-02,-4.913831886287170839e-03,-2.915111627002873323e-02
1.061061061061061039e+01,3.997698295345289310e+00,1.718511402334479618e-02,-7.594244822115707103e-03,-2.440348661450935860e-02
1.071071071071071223e+01,3.999350102763419290e+00,1.576738968664085846e-02,-9.794776570537504223e-03,-1.954380457445521399e-02
