time,x_c,x_c_dot,gamma,gamma_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.002002002002001985e-02,-7.696126119978045042e-03,-5.508687451649892930e-01,1.600896459505401770e-01,1.154950873631547914e+01
4.004004004004003969e-02,-1.870623710877259566e-02,-5.226853397781450195e-01,3.970708657852456414e-01,1.166811127330882947e+01
6.006006006006005954e-02,-2.820237075489900880e-02,-4.222391863580878812e-01,6.210827677213546227e-01,1.067431670432566548e+01
8.008008008008007939e-02,-3.555710169230613671e-02,-3.122777721088703662e-01,8.242855411607667993e-01,9.630882750573134032e+00
1.001001001001000923e-01,-4.072538709859424566e-02,-2.050228083561225767e-01,1.007069792679859077e+00,8.640659252168500615e+00
1.201201201201201191e-01,-4.381465591177569757e-02,-1.050762302328424602e-01,1.170609817008735565e+00,7.707406803101574333e+00
1.401401401401401459e-01,-4.499739369764176738e-02,-1.471116797597432635e-02,1.316063818378424344e+00,6.831079604677928963e+00
1.601601601601601588e-01,-4.447335437350204146e-02,6.528393608290794514e-02,1.444532731599682318e+00,6.017337666728900025e+00
1.801801801801801717e-01,-4.244986741426472199e-02,1.354662033349312011e-01,1.557386448245061672e+00,5.257687954321863089e+00
2.002002002002001846e-01,-3.911208019689495219e-02,1.964783887912392446e-01,1.655595137305721831e+00,4.573244924975250925e+00
2.202202202202202252e-01,-3.463243180057909432e-02,2.500354642995412657e-01,1.740812338366074963e+00,3.938196136354829680e+00
2.402402402402402382e-01,-2.914525024542742593e-02,2.971571321183626990e-01,1.813884258550406248e+00,3.378957132743596325e+00
2.602602602602602788e-01,-2.276671365564890068e-02,3.393923107057121302e-01,1.876390968306361540e+00,2.864959830915188910e+00
2.802802802802802917e-01,-1.558303696842850035e-02,3.776885538239128648e-01,1.929116105857203722e+00,2.414815348602708855e+00
3.003003003003003046e-01,-7.663530352962929712e-03,4.130590569241499033e-01,1.973333155304489495e+00,2.003922931644781524e+00
3.203203203203203175e-01,9.408119428240425269e-04,4.462026373440941551e-01,2.009739247074632029e+00,1.642053138621976549e+00
3.403403403403403304e-01,1.019156714427034080e-02,4.777146194636733290e-01,2.039291010505130508e+00,1.312139780981741888e+00
3.603603603603603434e-01,2.006074778179735285e-02,5.080594528165213175e-01,2.062561471455934381e+00,1.019286560716155865e+00
3.803803803803803563e-01,3.052881085686280291e-02,5.375817271085328031e-01,2.080268426772185819e+00,7.512736460828504104e-01
4.004004004004003692e-01,4.158215013202533339e-02,5.665837049337807407e-01,2.092858198794634639e+00,5.114410600771814863e-01
4.204204204204204376e-01,5.321273290766723868e-02,5.952678522237555558e-01,2.100873491202237542e+00,2.906747199052501229e-01
4.404404404404404505e-01,6.541599621798070696e-02,6.238316707801999650e-01,2.104660429033464730e+00,9.106275276461961443e-02
4.604604604604604634e-01,7.819102635429368842e-02,6.524017558390088345e-01,2.104620229934865971e+00,-9.347513159360534840e-02
4.804804804804804763e-01,9.153913657585337205e-02,6.811037113616495997e-01,2.101032988231378962e+00,-2.627271201008790635e-01
5.005005005005005447e-01,1.054639187203054024e-01,7.100253281194667254e-01,2.094182823859100484e+00,-4.197401364996529161e-01
5.205205205205205576e-01,1.199705699730446717e-01,7.392438815298622012e-01,2.084300208632405393e+00,-5.658784815754976938e-01
5.405405405405405705e-01,1.350656641316050621e-01,7.688216706094889163e-01,2.071584761450729228e+00,-7.023310447814058444e-01
5.605605605605605835e-01,1.507568861036774899e-01,7.988105682475853397e-01,2.056203747261155623e+00,-8.297297954741797987e-01
5.805805805805805964e-01,1.670529750885519360e-01,8.292412427461843816e-01,2.038363562762437908e+00,-9.535081392463278238e-01
6.006006006006006093e-01,1.839630993673072312e-01,8.601570940855015612e-01,2.018127810040907910e+00,-1.069506524126133673e+00
6.206206206206206222e-01,2.014971577707900530e-01,8.915812759474075477e-01,1.995606662962719380e+00,-1.178557826840159528e+00
6.406406406406406351e-01,2.196655272328088548e-01,9.235255160830101451e-01,1.970949799198188135e+00,-1.285711746027791591e+00
6.606606606606606480e-01,2.384787511645282965e-01,9.560038032436330990e-01,1.944180279155061974e+00,-1.387360119284299476e+00
