time,x_c,x_c_dot,gamma,gamma_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00
5.005005005005005309e-02,-1.565858155423397596e-02,-3.068973835830874353e-01,4.409582727880148045e-01,7.206214392023375659e+00
1.001001001001001062e-01,-2.795026750240037910e-02,-1.801931032968254187e-01,7.774624874517199746e-01,6.242240278252147334e+00
1.501501501501501523e-01,-3.350212569457421130e-02,-4.102724769860179727e-02,1.066716035401566343e+00,5.319961535415772325e+00
2.002002002002002123e-01,-3.212134245845503500e-02,9.482561337462278028e-02,1.310921623371205547e+00,4.446112865582500184e+00
2.502502502502502724e-01,-2.420146258711008275e-02,2.193384360572987468e-01,1.512822864859774796e+00,3.641319024336599153e+00
3.003003003003003046e-01,-1.038192816421757217e-02,3.307761440041759871e-01,1.676215208423156300e+00,2.895233257018019923e+00
3.503503503503503924e-01,8.695428779652599263e-03,4.297981001856072680e-01,1.804842389480542320e+00,2.253981484472254326e+00
4.004004004004004247e-01,3.248164710875041383e-02,5.193355160519422808e-01,1.903231123304840455e+00,1.693661179174351439e+00
4.504504504504504570e-01,6.056693673813783735e-02,6.020168212183937273e-01,1.975521990755822799e+00,1.204391415376782515e+00
5.005005005005005447e-01,9.266750989591657217e-02,6.801305836484775602e-01,2.025271745508088195e+00,7.916785541110400448e-01
5.505505505505505770e-01,1.286028195732750734e-01,7.555193296795574831e-01,2.055759575019829644e+00,4.359201050394214683e-01
6.006006006006006093e-01,1.682728407536023540e-01,8.295683718538227058e-01,2.069667090225404849e+00,1.269686004992904016e-01
6.506506506506506415e-01,2.116382376439411572e-01,9.033372718454732997e-01,2.069172164787756785e+00,-1.410555042048372287e-01
7.007007007007007848e-01,2.587054442153852163e-01,9.776057590677406095e-01,2.056074937236134659e+00,-3.774436285381580491e-01
7.507507507507508171e-01,3.095147062824318285e-01,1.052948993616215967e+00,2.031805298662773929e+00,-5.892834585514905577e-01
8.008008008008008494e-01,3.641306687099666317e-01,1.129777461219946044e+00,1.997461123492250135e+00,-7.796512780268480824e-01
8.508508508508508816e-01,4.226346692465383081e-01,1.208347658297044269e+00,1.953948196761139622e+00,-9.574538084066600563e-01
9.009009009009009139e-01,4.851176697254427905e-01,1.288792270121949413e+00,1.901889373099310498e+00,-1.122833308604400893e+00
9.509509509509510572e-01,5.516741087433282287e-01,1.371098857484589262e+00,1.841757752662564807e+00,-1.277501915540639077e+00
1.001001001001001089e+00,6.223947737898271049e-01,1.455196511735927789e+00,1.773988485869090193e+00,-1.432615935435050059e+00
1.051051051051051122e+00,6.973624491232556233e-01,1.540735849528932500e+00,1.698699123314296289e+00,-1.576272117519545990e+00
1.101101101101101154e+00,7.766420223100002351e-01,1.627406468899228464e+00,1.616169413623055995e+00,-1.720406963940748213e+00
1.151151151151151186e+00,8.602758620953246949e-01,1.714660913608251791e+00,1.526510012083010182e+00,-1.863183920977867114e+00
1.201201201201201219e+00,9.482759761826288214e-01,1.801705417938640030e+00,1.429799578970668117e+00,-1.999952825054387651e+00
1.251251251251251251e+00,1.040612191005412912e+00,1.887844906237751141e+00,1.326263533094925284e+00,-2.138729681986391018e+00
1.301301301301301283e+00,1.137209941144000425e+00,1.971782986591521958e+00,1.216002298176211971e+00,-2.267525682946601950e+00
1.351351351351351537e+00,1.237934004282372769e+00,2.052393785028232998e+00,1.099356484333198658e+00,-2.389470369480665379e+00
1.401401401401401570e+00,1.342583366870964134e+00,2.128392500432683132e+00,9.767665928846904766e-01,-2.504633274752495975e+00
1.451451451451451602e+00,1.450885568311575335e+00,2.198205224357658416e+00,8.487865978236135422e-01,-2.607244888752773715e+00
1.501501501501501634e+00,1.562491106173320876e+00,2.260151354630060450e+00,7.161502986042243002e-01,-2.690553529940242328e+00
1.551551551551551666e+00,1.676972087694618807e+00,2.312700412960648322e+00,5.798044652754391626e-01,-2.750961181506822673e+00
1.601601601601601699e+00,1.793825376111814807e+00,2.355028902932369217e+00,4.409375888473829330e-01,-2.797099921147183643e+00
1.651651651651651731e+00,1.912496831370200434e+00,2.385079963248866619e+00,3.006611053414628976e-01,-2.804332088331398687e+00
1.701701701701701763e+00,2.032376289163015493e+00,2.403307782111208546e+00,1.604503751089173258e-01,-2.795957374052443267e+00
1.751751751751751796e+00,2.152842547370320325e+00,2.408705350816738200e+00,2.156088964905563538e-02,-2.755327494049528703e+00
1.801801801801801828e+00,2.273269101610894349e+00,2.401702858332125601e+00,-1.146703482674649166e-01,-2.688114848973623072e+00
1.851851851851851860e+00,2.393052326065959967e+00,2.382920313537986612e+00,-2.470228849086599232e-01,-2.596352180315219638e+00
1.901901901901902114e+00,2.511626328762002203e+00,2.353613161361947537e+00,-3.743636001816610381e-01,-2.489495650014050376e+00
1.951951951951952147e+00,2.628482297333306850e+00,2.314522619337959330e+00,-4.957977231784771455e-01,-2.361936319784468274e+00
2.002002002002002179e+00,2.743168432213873853e+00,2.267226105019032989e+00,-6.105041591597900608e-01,-2.223664636386154303e+00
2.052052052052052211e+00,2.855302016111596508e+00,2.212635668454163707e+00,-7.179292479400364302e-01,-2.069163059323997356e+00
2.102102102102102243e+00,2.964559525887318969e+00,2.152339155741650689e+00,-8.175747944882935103e-01,-1.909444001492572651e+00
2.152152152152152276e+00,3.070679750917753914e+00,2.087468456662203931e+00,-9.091493757312966162e-01,-1.747536652067892771e+00
2.202202202202202308e+00,3.173456271875252366e+00,2.018929081471955822e+00,-9.925285685631575205e-01,-1.583642973765996498e+00
2.252252252252252340e+00,3.272728113352480150e+00,1.947635539983864739e+00,-1.067684884686094682e+00,-1.421842919640857961e+00
2.302302302302302373e+00,3.368374784162492919e+00,1.874170925994517845e+00,-1.134746164973491789e+00,-1.260490630853777549e+00
2.352352352352352405e+00,3.460305725139732225e+00,1.799172197387220562e+00,-1.193881856428658628e+00,-1.103290473236405056e+00
