time,x_c,x_c_dot,gamma,gamma_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.001001001001001062e-01,2.008310744019218760e-03,9.385856993218037736e-02,1.131437389876550181e+00,1.113558594760674314e+00
2.002002002002002123e-01,1.924937572273589803e-02,2.501879697493913923e-01,1.212480419248089580e+00,5.286589812444362213e-01
3.003003003003003046e-01,5.201453090271690449e-02,4.040361631181495494e-01,1.241331199469509095e+00,6.671506002431548676e-02
4.004004004004004247e-01,1.000476705364125307e-01,5.551602884486874778e-01,1.229278049137335627e+00,-2.916783045663928764e-01
5.005005005005005447e-01,1.630467406382052065e-01,7.028729683784475935e-01,1.185561794368114041e+00,-5.690739400485179678e-01
6.006006006006006093e-01,2.405987752169480853e-01,8.457064747964191387e-01,1.117610349611864118e+00,-7.804740134567736964e-01
7.007007007007007848e-01,3.321180958698865537e-01,9.815351941874629338e-01,1.031474946857054098e+00,-9.326100232806403545e-01
8.008008008008008494e-01,4.368019532717020148e-01,1.108300540412607837e+00,9.323599214855436967e-01,-1.039278686531999396e+00
9.009009009009009139e-01,5.536226088955674696e-01,1.223736176621970539e+00,8.247703769962992926e-01,-1.104372656837286026e+00
1.001001001001001089e+00,6.813426763310312939e-01,1.325722241996731832e+00,7.127370606039071799e-01,-1.127118073046322166e+00
1.101101101101101154e+00,8.185530906645041016e-01,1.413214981901912415e+00,6.000025230162001622e-01,-1.119857418471775778e+00
1.201201201201201219e+00,9.637447023015695002e-01,1.485147834814550150e+00,4.897870257005064176e-01,-1.077978211252449192e+00
1.301301301301301283e+00,1.115371857441700643e+00,1.541758047665214182e+00,3.849417909384451608e-01,-1.011110997180945548e+00
1.401401401401401570e+00,1.271928105943643139e+00,1.583851006135891026e+00,2.877687598326126306e-01,-9.267946080910671736e-01
1.501501501501501634e+00,1.432007417201039301e+00,1.612429537736494112e+00,1.999591014763495711e-01,-8.258842366259327994e-01
1.601601601601601699e+00,1.594344130006243754e+00,1.629214533280667787e+00,1.226711230332812597e-01,-7.169990955264284871e-01
1.701701701701701763e+00,1.757842406431788795e+00,1.635944413046901191e+00,5.649475220694950839e-02,-6.048117778073692774e-01
1.801801801801801828e+00,1.921585779299259666e+00,1.634442575944524689e+00,1.536398975684935206e-03,-4.942310444109708212e-01
1.901901901901902114e+00,2.084836510649253682e+00,1.626372918142410695e+00,-4.251888389083178371e-02,-3.873048482837501694e-01
2.002002002002002179e+00,2.247024404598235048e+00,1.613438190353790880e+00,-7.629157813684782352e-02,-2.886607344936884534e-01
2.102102102102102243e+00,2.407733411790705880e+00,1.597075045155639472e+00,-1.006517058714192225e-01,-1.999921119055012575e-01
2.202202202202202308e+00,2.566683882371762149e+00,1.578489597409837630e+00,-1.166336301154175248e-01,-1.212246578008029929e-01
2.302302302302302373e+00,2.723713052171889082e+00,1.558846225165190669e+00,-1.253446335410724755e-01,-5.463741093358243789e-02
2.402402402402402437e+00,2.878758115061133438e+00,1.538990773395384704e+00,-1.279382657968927972e-01,8.564942852078804951e-04
2.502502502502502502e+00,3.031837249515409116e+00,1.519669317117934515e+00,-1.255435747443559846e-01,4.522080991950030299e-02
2.602602602602602566e+00,3.183033264920503758e+00,1.501450352076026284e+00,-1.192388207952234103e-01,7.905001368985918597e-02
2.702702702702703075e+00,3.332478020920714545e+00,1.484735411642316150e+00,-1.100249150839260059e-01,1.035390735097100334e-01
2.802802802802803139e+00,3.480337979991912523e+00,1.469825847972351385e+00,-9.880095642612915507e-02,1.193305226568790595e-01
2.902902902902903204e+00,3.626802067654335104e+00,1.456855681951610748e+00,-8.636212873561936731e-02,1.281853274483218674e-01
3.003003003003003268e+00,3.772070058440085472e+00,1.445936770257612691e+00,-7.337971547414315343e-02,1.302649195049496444e-01
3.103103103103103333e+00,3.916344345529528148e+00,1.436997529389483219e+00,-6.042060947719947450e-02,1.277963751602087250e-01
3.203203203203203397e+00,4.059821452321182633e+00,1.429986031088688714e+00,-4.792983981230747315e-02,1.211693259292125902e-01
3.303303303303303462e+00,4.202686906484794704e+00,1.424756507197884048e+00,-3.625172884069917389e-02,1.115991127803968586e-01
3.403403403403403527e+00,4.345110730804558230e+00,1.421126168518771049e+00,-2.563411264999410424e-02,1.002333237544571626e-01
3.503503503503503591e+00,4.487244381200407695e+00,1.418921466635427064e+00,-1.623519199725659279e-02,8.745272875617129960e-02
3.603603603603603656e+00,4.629219432244368271e+00,1.417925651470715698e+00,-8.142132601026214750e-03,7.418748108974926314e-02
3.703703703703703720e+00,4.771146725557880330e+00,1.417931661841799862e+00,-1.378034748850429135e-03,6.101552049612887774e-02
3.803803803803804229e+00,4.913116627766946465e+00,1.418745666933448391e+00,4.085924160203221675e-03,4.825042694102302937e-02
3.903903903903904293e+00,5.055200060378810534e+00,1.420170463273669803e+00,8.316819060506080649e-03,3.641390192239411100e-02
4.004004004004004358e+00,5.197449757523667557e+00,1.422038688643278315e+00,1.141286375717668472e-02,2.564473506040222672e-02
4.104104104104104422e+00,5.339902133249332827e+00,1.424196969831796888e+00,1.349200032791582175e-02,1.609704742500377844e-02
4.204204204204204487e+00,5.482579259767564217e+00,1.426509049693507114e+00,1.468389301534453635e-02,7.920402805024297221e-03
4.304304304304304551e+00,5.625490913751213462e+00,1.428864926116159673e+00,1.512391693345948619e-02,1.094024409998688076e-03
4.404404404404404616e+00,5.768636716859436575e+00,1.431173803777635589e+00,1.494664536643867947e-02,-4.421184191753546079e-03
4.504504504504504681e+00,5.912008175179003011e+00,1.433363228055420935e+00,1.428127322099728876e-02,-8.673219173483527264e-03
4.604604604604604745e+00,6.055590578365671384e+00,1.435381005398407295e+00,1.324850555334160240e-02,-1.177858778733157502e-02
4.704704704704704810e+00,6.199364765812284794e+00,1.437190810250988049e+00,1.195778096479142329e-02,-1.385935929498431293e-02
4.804804804804804874e+00,6.343308693247312391e+00,1.438768718160510662e+00,1.050551075673837598e-02,-1.500512013667329968e-02
4.904904904904904939e+00,6.487398731415444431e+00,1.440110505800660468e+00,8.975298604615582904e-03,-1.546153641687349548e-02
5.005005005005005003e+00,6.631610907240679254e+00,1.441209724539453729e+00,7.435541033041053773e-03,-1.521441737399063451e-02
5.105105105105105068e+00,6.775921685140095185e+00,1.442081903626811989e+00,5.942692266177491793e-03,-1.452991067256301054e-02
5.205205205205205132e+00,6.920308812357021999e+00,1.442739504190941213e+00,4.539422243518337861e-03,-1.347216276667578122e-02
5.305305305305305197e+00,7.064751798598821075e+00,1.443200240319208127e+00,3.256780413442443827e-03,-1.211022528304130964e-02
5.405405405405406150e+00,7.209232242162004312e+00,1.443492842153240474e+00,2.116255101401700884e-03,-1.066871091701103794e-02
5.505505505505506214e+00,7.353734163326983264e+00,1.443634274036091902e+00,1.128741655323685453e-03,-9.083012724527040477e-03
5.605605605605606279e+00,7.498243965589288962e+00,1.443652918564084953e+00,2.986658700377549901e-04,-7.503551246575443021e-03
5.705705705705706343e+00,7.642750500157760918e+00,1.443573497319282861e+00,-3.761992473958172866e-04,-6.002827466334089909e-03
5.805805805805806408e+00,7.787244974541101428e+00,1.443415771700790717e+00,-9.034587545090487677e-04,-4.564302737234067313e-03
5.905905905905906472e+00,7.931720750297443168e+00,1.443202319952523904e+00,-1.293921942422852174e-03,-3.255801504869490406e-03
6.006006006006006537e+00,8.076173171504079207e+00,1.442952441580301004e+00,-1.561114370956335259e-03,-2.111981300689384604e-03
6.106106106106106601e+00,8.220599341871679400e+00,1.442680388243657852e+00,-1.720457598116552269e-03,-1.103513887377031424e-03
6.206206206206206666e+00,8.364997845439278379e+00,1.442401411934694178e+00,-1.787732478289036408e-03,-2.657358634489197474e-04
6.306306306306306730e+00,8.509368526529300425e+00,1.442126284089551680e+00,-1.778984870759715581e-03,4.139008595483819383e-04
6.406406406406406795e+00,8.653712233480350235e+00,1.441863743755786187e+00,-1.709695202306122600e-03,9.457904971538422462e-04
6.506506506506506859e+00,8.798030588622793857e+00,1.441620616183469039e+00,-1.594346949827967971e-03,1.337837939081662183e-03
6.606606606606606924e+00,8.942325779060587010e+00,1.441401595743640573e+00,-1.446158401961670451e-03,1.603135332174829633e-03
6.706706706706706989e+00,9.086600368660176841e+00,1.441209283332375080e+00,-1.276896968949307962e-03,1.763094813328633164e-03
