time,x_c,x_c_dot,gamma,gamma_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.003003003003002977e-02,-6.714664759930497398e-03,-2.867923381996890786e-01,1.398214350516577831e-01,6.030626839453829824e+00
6.006006006006005954e-02,-1.479245137244459066e-02,-2.444210233466434234e-01,3.144811544643686396e-01,5.497611431607443144e+00
9.009009009009008584e-02,-2.125805146657593417e-02,-1.853807681022197340e-01,4.688387113620262614e-01,4.786452726412606218e+00
1.201201201201201191e-01,-2.589987149998568272e-02,-1.238358351218084297e-01,6.023087999373053503e-01,4.115377684874650832e+00
1.501501501501501523e-01,-2.869278777300105984e-02,-6.212678860753774457e-02,7.163821593652726083e-01,3.485275250329490149e+00
1.801801801801801717e-01,-2.965650390978287823e-02,-2.226096646261208067e-03,8.123809942073879631e-01,2.913205119837771306e+00
2.102102102102102188e-01,-2.884947783447441849e-02,5.567775745504186663e-02,8.919103762886568809e-01,2.390038181113102844e+00
2.402402402402402382e-01,-2.633540398802473870e-02,1.114494462279716214e-01,9.564438419388873180e-01,1.914578567026901101e+00
2.702702702702702853e-01,-2.217633629108488325e-02,1.651228066074530432e-01,1.007363565064703481e+00,1.487085729962672520e+00
3.003003003003003046e-01,-1.643258660960842180e-02,2.171530417331635765e-01,1.046086535381437477e+00,1.098266250936401400e+00
3.303303303303303240e-01,-9.151474399478949640e-03,2.676170078566856292e-01,1.073782233166155065e+00,7.501341004717428929e-01
3.603603603603603434e-01,-3.748943517118252106e-04,3.167450226820786585e-01,1.091579795426879995e+00,4.397587633081795344e-01
3.903903903903903627e-01,9.860975422980391286e-03,3.647889311302126014e-01,1.100535095852754219e+00,1.620896891664691808e-01
4.204204204204204376e-01,2.152545437451138660e-02,4.119147852180224945e-01,1.101593711191066971e+00,-8.684359764346322175e-02
4.504504504504504570e-01,3.459192435538953336e-02,4.581860274606438521e-01,1.095589434345724644e+00,-3.092159909301397391e-01
4.804804804804804763e-01,4.903545809480802653e-02,5.036241305083829500e-01,1.083277652371119837e+00,-5.071675865434859265e-01
5.105105105105105512e-01,6.483151164718720105e-02,5.482028642161064225e-01,1.065341147883128059e+00,-6.824672380146423745e-01
5.405405405405405705e-01,8.195290081391420900e-02,5.919903415442852035e-01,1.042452710633162249e+00,-8.405894436214889076e-01
5.705705705705705899e-01,1.003745638852065192e-01,6.347083361369925125e-01,1.015108346937340755e+00,-9.771742883661324042e-01
6.006006006006006093e-01,1.200642390105281371e-01,6.763853961492962696e-01,9.838919163579177285e-01,-1.097700957283037404e+00
6.306306306306306286e-01,1.409871755322930909e-01,7.169551862405282305e-01,9.493161591254020149e-01,-1.204862349145330080e+00
6.606606606606606480e-01,1.631079170874054907e-01,7.560706094369206154e-01,9.117719038482373639e-01,-1.293704832715270481e+00
6.906906906906906674e-01,1.863831502058077572e-01,7.936536420387242385e-01,8.717274852177617772e-01,-1.367108815862364768e+00
7.207207207207206867e-01,2.107628546648569190e-01,8.298197191888327939e-01,8.296847557360075287e-01,-1.432579473783396118e+00
7.507507507507507061e-01,2.361992791666930880e-01,8.641302211571050274e-01,7.859522945249447501e-01,-1.482791614840955230e+00
7.807807807807807254e-01,2.626373067667583383e-01,8.964121531546910271e-01,7.409105370522329759e-01,-1.517420990733212793e+00
8.108108108108108558e-01,2.900162394500846452e-01,9.266617115184612175e-01,6.949688817779235972e-01,-1.539957386932097716e+00
8.408408408408408752e-01,3.182734967547507510e-01,9.547769306752318386e-01,6.484854563583573039e-01,-1.550835165535767057e+00
8.708708708708708945e-01,3.473428451336264544e-01,9.807769560190332525e-01,6.018260169327619424e-01,-1.552790151182074085e+00
9.009009009009009139e-01,3.771570719698555396e-01,1.004627533960065655e+00,5.553163994734686693e-01,-1.546656411515026086e+00
9.309309309309309333e-01,4.076502296605913900e-01,1.026087914770063225e+00,5.092106649488489234e-01,-1.528119121450049800e+00
9.609609609609609526e-01,4.387534163693090905e-01,1.045199929320837828e+00,4.638036741615344516e-01,-1.498863582671604577e+00
9.909909909909909720e-01,4.703977426486572466e-01,1.062089924514068029e+00,4.193777424680760202e-01,-1.461862676765811164e+00
1.021021021021021102e+00,5.025166641220305541e-01,1.076807851518078563e+00,3.761662243761433322e-01,-1.417845457340220827e+00
1.051051051051051122e+00,5.350459061554041496e-01,1.089394053032238796e+00,3.343699361810857917e-01,-1.366922083934974053e+00
1.081081081081081141e+00,5.679232573140514662e-01,1.099959491233395648e+00,2.941735381878732292e-01,-1.310372789685354977e+00
1.111111111111111160e+00,6.010893686951800374e-01,1.108651504516790176e+00,2.557380976858721344e-01,-1.249930383079054907e+00
1.141141141141141180e+00,6.344890296245784267e-01,1.115551268312859667e+00,2.191824028968910043e-01,-1.185674745207303538e+00
1.171171171171171199e+00,6.680703766255797760e-01,1.120784536116824048e+00,1.846063200805675153e-01,-1.118456782948115347e+00
1.201201201201201219e+00,7.017853569226047972e-01,1.124487213371545558e+00,1.520855473015491899e-01,-1.049210073514275532e+00
1.231231231231231238e+00,7.355899696630979756e-01,1.126784826388042671e+00,1.216697233100773462e-01,-9.785681059691232475e-01
1.261261261261261257e+00,7.694440526715803363e-01,1.127814989701070747e+00,9.338873013749407481e-02,-9.073755687686171356e-01
1.291291291291291277e+00,8.033116039912603368e-01,1.127683340420049696e+00,6.724671388736463973e-02,-8.358033273489468007e-01
1.321321321321321296e+00,8.371600637501510622e-01,1.126531877513449631e+00,4.323685060146273407e-02,-7.647992893264663472e-01
1.351351351351351315e+00,8.709604379574488187e-01,1.124508383866765326e+00,2.133780939830334789e-02,-6.954708345449818196e-01
1.381381381381381335e+00,9.046876014143049316e-01,1.121712350647984913e+00,1.505984458681431954e-03,-6.279793991029788414e-01
1.411411411411411354e+00,9.383200662734313413e-01,1.118199946340616480e+00,-1.632159238803086374e-02,-5.616569739449649434e-01
1.441441441441441373e+00,9.718388359052763104e-01,1.114092207770884135e+00,-3.220567433502277005e-02,-4.972592881199009995e-01
1.471471471471471393e+00,1.005227676055066244e+00,1.109521396366667467e+00,-4.621283833968345411e-02,-4.358580555779670296e-01
1.501501501501501412e+00,1.038473512966764378e+00,1.104562980721401466e+00,-5.842629571847464398e-02,-3.774325093807008868e-01
1.531531531531531432e+00,1.071565545723725643e+00,1.099314092825083966e+00,-6.893008223877360174e-02,-3.225003933523618582e-01
1.561561561561561451e+00,1.104495848104733557e+00,1.093803434327637714e+00,-7.782423328543604246e-02,-2.702458381494434181e-01
1.591591591591591470e+00,1.137258029095300937e+00,1.088121962945663990e+00,-8.519960998974711319e-02,-2.212354791248137831e-01
1.621621621621621712e+00,1.169847888214350373e+00,1.082328086703621572e+00,-9.115417290307623044e-02,-1.754474463052204947e-01
1.651651651651651731e+00,1.202262832805620185e+00,1.076494031402034812e+00,-9.578348966421185162e-02,-1.332343560879569733e-01
1.681681681681681750e+00,1.234502194074469594e+00,1.070651273743556287e+00,-9.918990406149771899e-02,-9.418621974187173229e-02
1.711711711711711770e+00,1.266566552020711001e+00,1.064848907045364390e+00,-1.014710259738221265e-01,-5.834335871392293260e-02
1.741741741741741789e+00,1.298457797163932170e+00,1.059129452667621374e+00,-1.027235036421466768e-01,-2.569125064546960713e-02
1.771771771771771808e+00,1.330178995642840700e+00,1.053527740238529908e+00,-1.030426449183279303e-01,3.864889870946294510e-03
1.801801801801801828e+00,1.361734201288316015e+00,1.048076557694384237e+00,-1.025208719674383789e-01,3.038469752989630263e-02
1.831831831831831847e+00,1.393128364248501949e+00,1.042802220962617099e+00,-1.012481119896424253e-01,5.398729975331620357e-02
1.861861861861861867e+00,1.424367067772905227e+00,1.037740345445778534e+00,-9.930853740371396732e-02,7.452554422270396550e-02
1.891891891891891886e+00,1.455456858548238142e+00,1.032885260432411245e+00,-9.678959363739383925e-02,9.264191629135659634e-02
1.921921921921921905e+00,1.486404443247312024e+00,1.028268456814733334e+00,-9.376732163837844802e-02,1.081381815269673169e-01
1.951951951951951925e+00,1.517217080780718153e+00,1.023902680449516156e+00,-9.031648894316186837e-02,1.211424936256670359e-01
1.981981981981981944e+00,1.547902388957228537e+00,1.019792947430355534e+00,-8.650843884945888518e-02,1.318832153530071494e-01
2.012012012012012185e+00,1.578468185329146456e+00,1.015944548240137024e+00,-8.240954787743562382e-02,1.405256863082799956e-01
2.042042042042042205e+00,1.608922411976479783e+00,1.012362357104253041e+00,-7.808132852763516318e-02,1.471901259124139827e-01
2.072072072072072224e+00,1.639273067525990557e+00,1.009050107513133732e+00,-7.358057774481603641e-02,1.519703125031002244e-01
2.102102102102102243e+00,1.669528226261056458e+00,1.006000580516243526e+00,-6.896122661517747887e-02,1.551412018262421644e-01
2.132132132132132263e+00,1.699695793456998505e+00,1.003216464577858735e+00,-6.427059621384421939e-02,1.567288066214556352e-01
2.162162162162162282e+00,1.729783580708088797e+00,1.000695695853031308e+00,-5.955219946456707242e-02,1.568187116185317531e-01
2.192192192192192302e+00,1.759799378961538485e+00,9.984177555649522695e-01,-5.484838329896377790e-02,1.558443228282787862e-01
2.222222222222222321e+00,1.789750570991039513e+00,9.963829499672824941e-01,-5.019329362863913374e-02,1.537740811254101059e-01
2.252252252252252340e+00,1.819644303842357980e+00,9.945888302012374504e-01,-4.561737290148842883e-02,1.506050714833328807e-01
2.282282282282282360e+00,1.849487496730797043e+00,9.930258990274185571e-01,-4.114833520722122051e-02,1.464554944457521213e-01
2.312312312312312379e+00,1.879286850674757092e+00,9.916737209127962638e-01,-3.681207824762927627e-02,1.416485699695754219e-01
2.342342342342342398e+00,1.909048709959126899e+00,9.905144428157962588e-01,-3.263042397745053586e-02,1.364347346709149922e-01
2.372372372372372418e+00,1.938778901862530546e+00,9.895493313605668861e-01,-2.861831969329012293e-02,1.306512123343404885e-01
2.402402402402402437e+00,1.968483002830323070e+00,9.887673207976221956e-01,-2.478980961938566027e-02,1.243779541552588047e-01
2.432432432432432456e+00,1.998166231714207042e+00,9.881563902601562255e-01,-2.115618158485966724e-02,1.177038913944216808e-01
2.462462462462462476e+00,2.027833432564711380e+00,9.877051756928878490e-01,-1.772589938596465936e-02,1.106958554855562854e-01
2.492492492492492495e+00,2.057489175291759231e+00,9.873915470346765755e-01,-1.450691278161293438e-02,1.036379352067313409e-01
2.522522522522522515e+00,2.087137537291303246e+00,9.872078013184506506e-01,-1.150228039853984016e-02,9.651047280823545071e-02
2.552552552552552534e+00,2.116782256711255528e+00,9.871438836954090634e-01,-8.713450161248090589e-03,8.934028989186459935e-02
2.582582582582582553e+00,2.146426754616469257e+00,9.871857739056963954e-01,-6.140764458480726419e-03,8.223585509097164348e-02
2.612612612612612573e+00,2.176074007017281708e+00,9.873311754001087293e-01,-3.780800699636285064e-03,7.506309531738075691e-02
2.642642642642642592e+00,2.205726826308884725e+00,9.875588276456224168e-01,-1.632167998036752107e-03,6.808380650935270950e-02
2.672672672672672611e+00,2.235387597058002385e+00,9.878600452603433224e-01,3.100617696335686117e-04,6.130210848104079846e-02
2.702702702702702631e+00,2.265058413219661837e+00,9.882247288558977383e-01,2.051622819414549576e-03,5.475589713151637200e-02
2.732732732732732650e+00,2.294741041879690080e+00,9.886472135263685290e-01,3.599954730322065671e-03,4.839633238546306448e-02
2.762762762762762669e+00,2.324437035597536116e+00,9.891152978408462859e-01,4.962042042964145971e-03,4.231635426678093809e-02
2.792792792792792689e+00,2.354147655258531202e+00,9.896208826646500922e-01,6.146208309783545397e-03,3.653046590588301945e-02
2.822822822822822708e+00,2.383873914617556267e+00,9.901568080520394277e-01,7.161401458453035482e-03,3.104091776270330796e-02
2.852852852852852727e+00,2.413616618876341491e+00,9.907143870459125257e-01,8.016616895338070023e-03,2.588931451956356933e-02
2.882882882882882747e+00,2.443376346031851831e+00,9.912874522008774392e-01,8.721519509069342729e-03,2.107291925640535080e-02
2.912912912912912766e+00,2.473153471677617343e+00,9.918714443610221476e-01,9.286171246369118865e-03,1.656378326134738677e-02
2.942942942942942786e+00,2.502948209548340852e+00,9.924606852287192194e-01,9.720437111112471829e-03,1.236549501927213489e-02
2.972972972972972805e+00,2.532760637008416804e+00,9.930473239157580068e-01,1.003370642948650700e-02,8.535100328389697705e-03
3.003003003003002824e+00,2.562590639688092420e+00,9.936294288810748609e-01,1.023629279642378209e-02,5.015094535838787726e-03
3.033033033033032844e+00,2.592437999971112461e+00,9.942026603827461839e-01,1.033784627916094559e-02,1.806217394126482904e-03
3.063063063063062863e+00,2.622302387698072224e+00,9.947630003880475469e-01,1.034779238665009191e-02,-1.089358831700938278e-03
3.093093093093092882e+00,2.652183368899871496e+00,9.953073567692023449e-01,1.027539144389870256e-02,-3.680761284018313484e-03
3.123123123123122902e+00,2.682080425237453269e+00,9.958328742996437333e-01,1.012956967467438553e-02,-5.974344594496827990e-03
3.153153153153152921e+00,2.711992960678512699e+00,9.963376127452672204e-01,9.919007252114924941e-03,-7.988035945333161678e-03
3.183183183183182940e+00,2.741920321307049768e+00,9.968196532837623192e-01,9.651946197653058640e-03,-9.733084214629404013e-03
3.213213213213213404e+00,2.771861802736243607e+00,9.972775198972620991e-01,9.336244955398345993e-03,-1.122313209918264498e-02
3.243243243243243423e+00,2.801816659558272971e+00,9.977102874225661777e-01,8.979381523345554214e-03,-1.247680425057370000e-02
3.273273273273273443e+00,2.831784119597422045e+00,9.981170531456109440e-01,8.588345961099259906e-03,-1.350709809876312305e-02
3.303303303303303462e+00,2.861763391332400097e+00,9.984970977621342447e-01,8.169663701027136266e-03,-1.432509689303450469e-02
3.333333333333333481e+00,2.891753670244207708e+00,9.988500821646689731e-01,7.729429923581714913e-03,-1.494443357683794202e-02
3.363363363363363501e+00,2.921754146588541712e+00,9.991759971704806675e-01,7.273302925064843022e-03,-1.538062917659166993e-02
3.393393393393393520e+00,2.951764010818049400e+00,9.994752977167945529e-01,6.806534798076403076e-03,-1.565426073741154472e-02
3.423423423423423539e+00,2.981782462788320043e+00,9.997485263373032671e-01,6.333912132659985129e-03,-1.578352405639257133e-02
3.453453453453453559e+00,3.011808720446709664e+00,9.999959178699269202e-01,5.859696118080917615e-03,-1.577640118494745905e-02
3.483483483483483578e+00,3.041842019077063419e+00,1.000218004269713967e+00,5.387747602676335942e-03,-1.564358162504942557e-02
3.513513513513513598e+00,3.071881614893916090e+00,1.000415654004382038e+00,4.921551038854683931e-03,-1.539963565854677793e-02
3.543543543543543617e+00,3.101926790089827080e+00,1.000589879087609768e+00,4.464197755419844343e-03,-1.505935215157485317e-02
3.573573573573573636e+00,3.131976855388609593e+00,1.000741862635202262e+00,4.018410887908436917e-03,-1.463864100825323575e-02
3.603603603603603656e+00,3.162031156288266587e+00,1.000872507405434764e+00,3.586484001207758746e-03,-1.414547699777257347e-02
3.633633633633633675e+00,3.192089071222244723e+00,1.000982848342034659e+00,3.170378219923493217e-03,-1.358876412303055246e-02
3.663663663663663694e+00,3.222150010420981037e+00,1.001074334288028833e+00,2.771796058705117138e-03,-1.298446771210150057e-02
3.693693693693693714e+00,3.252213422400196841e+00,1.001148194941215541e+00,2.392088655031078537e-03,-1.234273985938717615e-02
3.723723723723723733e+00,3.282278795525571446e+00,1.001205324643830163e+00,2.032257449701191637e-03,-1.166575672304159123e-02
3.753753753753753752e+00,3.312345654762994585e+00,1.001246674532037417e+00,1.693048575242471010e-03,-1.095609151636921588e-02
3.783783783783783772e+00,3.342413555202536912e+00,1.001273976209057226e+00,1.375107506548555033e-03,-1.023195212584556563e-02
3.813813813813813791e+00,3.372482090646810260e+00,1.001288720084009709e+00,1.078814801073090879e-03,-9.506169397251906794e-03
3.843843843843843811e+00,3.402550893670616805e+00,1.001292075700739304e+00,8.042932287286818065e-04,-8.784723328908370515e-03
3.873873873873873830e+00,3.432619634294048705e+00,1.001284945053122710e+00,5.514385283294123523e-04,-8.068013084093059520e-03
3.903903903903903849e+00,3.462688017352523850e+00,1.001268142723985122e+00,3.199725590147458080e-04,-7.354743272566719586e-03
