time,x_c,x_c_dot,gamma,gamma_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00
5.005005005005005309e-02,-1.196174776617624051e-02,-2.412859158673731075e-01,4.273804198805029042e-01,7.089675166656721039e+00
1.001001001001001062e-01,-2.174000530819557991e-02,-1.463760259857857238e-01,7.601150731909211977e-01,6.216523140074524001e+00
1.501501501501501523e-01,-2.641220337987964725e-02,-3.982336742319724648e-02,1.049515737190070297e+00,5.357555048427634858e+00
2.002002002002002123e-01,-2.575430158283820853e-02,6.515084747422779377e-02,1.297119759910383197e+00,4.545881136481923157e+00
2.502502502502502724e-01,-2.002501382621621820e-02,1.622771937116098406e-01,1.505382273851817887e+00,3.779167433981526436e+00
3.003003003003003046e-01,-9.691217823313603291e-03,2.489788972689756241e-01,1.677112942893373981e+00,3.094840566903406476e+00
3.503503503503503924e-01,4.737419187902939394e-03,3.260825262965404980e-01,1.816169740613523542e+00,2.477016577381528251e+00
4.004004004004004247e-01,2.281523349293704955e-02,3.951413538757625465e-01,1.926363744030868741e+00,1.935130722782384627e+00
4.504504504504504570e-01,4.418870598434443409e-02,4.580879444266227618e-01,2.011424628713655682e+00,1.475078393449857694e+00
5.005005005005005447e-01,6.859727989631088374e-02,5.166843885447018891e-01,2.074999846793775138e+00,1.076970177940119067e+00
5.505505505505505770e-01,9.585988412494948763e-02,5.723378714766562680e-01,2.120172669485721695e+00,7.363044185090146243e-01
6.006006006006006093e-01,1.258582470245075691e-01,6.261643316829912376e-01,2.149609616377194055e+00,4.463202529842306143e-01
6.506506506506506415e-01,1.585229864268591637e-01,6.790137780890742603e-01,2.165581994400852750e+00,1.978369170200692806e-01
7.007007007007007848e-01,1.938222445651564818e-01,7.315371354792500336e-01,2.169974252841166518e+00,-1.712324285788604378e-02
7.507507507507508171e-01,2.317529746292541770e-01,7.842413094280270558e-01,2.164323346092069666e+00,-2.043870617169732673e-01
8.008008008008008494e-01,2.723344011028314693e-01,8.375144459405853281e-01,2.149881618813804796e+00,-3.694234841772963684e-01
8.508508508508508816e-01,3.156027823506581953e-01,8.916562186570321513e-01,2.127648193389606313e+00,-5.160274032690173041e-01
9.009009009009009139e-01,3.616073609964206570e-01,9.468790782762892544e-01,2.098440924554979325e+00,-6.500550241519733596e-01
9.509509509509510572e-01,4.104065517229259497e-01,1.003353011134296757e+00,2.062848313830241143e+00,-7.704202340464423315e-01
1.001001001001001089e+00,4.620653310932404945e-01,1.061160746431075275e+00,2.021395488886470471e+00,-8.842538780939896981e-01
1.051051051051051122e+00,5.166519720614177746e-01,1.120352444924915591e+00,1.974439771539256983e+00,-9.926694448268471582e-01
1.101101101101101154e+00,5.742356859818064097e-01,1.180914412583958795e+00,1.922209652473392927e+00,-1.092937681954382789e+00
1.151151151151151186e+00,6.348837470198690491e-01,1.242793749345714849e+00,1.864971037251446084e+00,-1.194259741139021447e+00
1.201201201201201219e+00,6.986591516532837387e-01,1.305862926253031686e+00,1.802795295646831164e+00,-1.291299492894238288e+00
1.251251251251251251e+00,7.656176532911733723e-01,1.369939668025466517e+00,1.735773188322693672e+00,-1.385501321137084352e+00
1.301301301301301283e+00,8.358042232966768070e-01,1.434845237118108408e+00,1.664019506431263506e+00,-1.483974258060924312e+00
1.351351351351351537e+00,9.092520707473048525e-01,1.500181485543417903e+00,1.587456572561277257e+00,-1.575568439674454924e+00
1.401401401401401570e+00,9.859758448101867412e-01,1.565690239932416850e+00,1.506212210796739948e+00,-1.671161460521780606e+00
1.451451451451451602e+00,1.065971718117561640e+00,1.630876195574591847e+00,1.420261809850531076e+00,-1.764862687351165915e+00
1.501501501501501634e+00,1.149211920518164787e+00,1.695189964396848881e+00,1.329641396465310432e+00,-1.854761311771599086e+00
1.551551551551551666e+00,1.235639444826868383e+00,1.758195203143710472e+00,1.234504412416030705e+00,-1.947883254562710942e+00
1.601601601601601699e+00,1.325168988525065927e+00,1.819066665479091682e+00,1.134901067790537343e+00,-2.034554156832817817e+00
1.651651651651651731e+00,1.417678965653628165e+00,1.877074744034577858e+00,1.031032654424926864e+00,-2.114249633270026685e+00
1.701701701701701763e+00,1.513009074658607123e+00,1.931550470836284950e+00,9.232051934834197837e-01,-2.189786192943088849e+00
1.751751751751751796e+00,1.610959856599095019e+00,1.981712404655366466e+00,8.117752581116899346e-01,-2.259832760737182866e+00
1.801801801801801828e+00,1.711292176202335646e+00,2.026612247046641890e+00,6.971568698626813276e-01,-2.317958139216120372e+00
1.851851851851851860e+00,1.813725440377854659e+00,2.065478843022200639e+00,5.799050706431594371e-01,-2.362976831714258985e+00
1.901901901901902114e+00,1.917941086873224732e+00,2.097674856552347755e+00,4.606762414930779537e-01,-2.395285986689214219e+00
1.951951951951952147e+00,2.023587661649148384e+00,2.122702255621534029e+00,3.402081656706150703e-01,-2.415905656020593817e+00
2.002002002002002179e+00,2.130289437651303075e+00,2.139968095340578635e+00,2.192566541575675931e-01,-2.419450995749479638e+00
2.052052052052052211e+00,2.237653741015381392e+00,2.148980924942655690e+00,9.860877824711478112e-02,-2.399214016547075445e+00
2.102102102102102243e+00,2.345274736656883796e+00,2.150329866560228176e+00,-2.079059007682546728e-02,-2.372069339811456956e+00
2.152152152152152276e+00,2.452757676676750709e+00,2.143425550460333007e+00,-1.382372885133354989e-01,-2.319234727615429037e+00
2.202202202202202308e+00,2.559711518001122066e+00,2.129186406987912061e+00,-2.528467605794663120e-01,-2.257077897989562043e+00
2.252252252252252340e+00,2.665770664600987772e+00,2.107892023275460769e+00,-3.639220895351510388e-01,-2.181663513651930675e+00
2.302302302302302373e+00,2.770596924071873968e+00,2.079941284804174728e+00,-4.708463709850177481e-01,-2.089087417817061088e+00
2.352352352352352405e+00,2.873880971220763580e+00,2.046296261571335595e+00,-5.730006353780028316e-01,-1.988952385421839386e+00
2.402402402402402437e+00,2.975350920445991143e+00,2.007585029648640162e+00,-6.699281259456540960e-01,-1.880931606382664434e+00
2.452452452452452469e+00,3.074770623989832252e+00,1.964465114811358548e+00,-7.612694228497510762e-01,-1.765293195618891975e+00
2.502502502502502502e+00,3.171937975859887793e+00,1.917710694558965701e+00,-8.467300843198867222e-01,-1.646770293215678249e+00
2.552552552552552534e+00,3.266685318434126906e+00,1.867873906689249131e+00,-9.261535840003647380e-01,-1.524596180266218903e+00
2.602602602602602566e+00,3.358873646029948201e+00,1.815627994942801582e+00,-9.994219441097599299e-01,-1.404145152157674881e+00
2.652652652652652598e+00,3.448392608765136202e+00,1.761337742495664216e+00,-1.066567297918535440e+00,-1.282268100380965059e+00
2.702702702702703075e+00,3.535153681277166449e+00,1.705436997117902198e+00,-1.127653391595232035e+00,-1.160346829043479300e+00
2.752752752752753107e+00,3.619087186941221113e+00,1.648340620891294295e+00,-1.182781481889890962e+00,-1.041814714303473721e+00
2.802802802802803139e+00,3.700139304477622737e+00,1.590402717262069388e+00,-1.232089376002431402e+00,-9.307711147966547527e-01
2.852852852852853172e+00,3.778271259055020703e+00,1.531681510141201574e+00,-1.275849870076067427e+00,-8.200788134409138230e-01
2.902902902902903204e+00,3.853452086351444095e+00,1.472452305404193140e+00,-1.314252111906400566e+00,-7.142681152154652935e-01
2.952952952952953236e+00,3.925659118754541765e+00,1.412913450990968878e+00,-1.347506455657927260e+00,-6.167594638136719709e-01
3.003003003003003268e+00,3.994877642697931552e+00,1.353038643216274650e+00,-1.375924759198065006e+00,-5.205536091201552473e-01
3.053053053053053301e+00,4.061095583678393517e+00,1.292997162545101109e+00,-1.399709095709207984e+00,-4.302029354719038023e-01
3.103103103103103333e+00,4.124305237038631944e+00,1.232849930601990440e+00,-1.419096936005042053e+00,-3.456463835826275588e-01
3.153153153153153365e+00,4.184501968024518348e+00,1.172602498783386515e+00,-1.434339427494708996e+00,-2.642002890660579140e-01
3.203203203203203397e+00,4.241682430470517851e+00,1.112329429060377795e+00,-1.445629136665010028e+00,-1.879264789987415973e-01
3.253253253253253430e+00,4.295845493551392558e+00,1.052031718792683979e+00,-1.453181590011161539e+00,-1.148211075752678945e-01
3.303303303303303462e+00,4.346990964279988212e+00,9.917437812664362529e-01,-1.457174053440374095e+00,-4.520949657221005197e-02
3.353353353353353494e+00,4.395119835541564157e+00,9.314921712971163670e-01,-1.457770581001052834e+00,2.091968113152023467e-02
3.403403403403403527e+00,4.440234281364379143e+00,8.712922360969334035e-01,-1.455125893976200846e+00,8.428242694438477234e-02
3.453453453453453559e+00,4.482337509009992615e+00,8.111691079591405451e-01,-1.449374273707219496e+00,1.450465061034396375e-01
3.503503503503503591e+00,4.521433979896994693e+00,7.511476578451155017e-01,-1.440637557481995845e+00,2.035636471714202533e-01
3.553553553553553623e+00,4.557529599562485600e+00,6.912525382293519538e-01,-1.429026855088427972e+00,2.604187663685630372e-01
3.603603603603603656e+00,4.590631664587901284e+00,6.315401094442072427e-01,-1.414626408887851294e+00,3.145652825621669813e-01
3.653653653653653688e+00,4.620749889996253579e+00,5.720207538217385590e-01,-1.397539864250038733e+00,3.680772455115696173e-01
3.703703703703703720e+00,4.647895555273112045e+00,5.127863204233666927e-01,-1.377820864978224646e+00,4.186000684616708045e-01
3.753753753753754197e+00,4.672083552921391991e+00,4.538324315266530906e-01,-1.355572187827931874e+00,4.697443162747574341e-01
3.803803803803804229e+00,4.693330821062756897e+00,3.952700235002855056e-01,-1.330834032245929111e+00,5.189830290940731228e-01
3.853853853853854261e+00,4.711658183936317634e+00,3.371776189033997562e-01,-1.303666338854716944e+00,5.662482855487617206e-01
3.903903903903904293e+00,4.727090812967638556e+00,2.796005077391882088e-01,-1.274145995010192989e+00,6.135192982253652172e-01
3.953953953953954326e+00,4.739657291062316702e+00,2.227073593680125030e-01,-1.242298226843983722e+00,6.571445193385180294e-01
4.004004004004004358e+00,4.749392908609756603e+00,1.664843513525682550e-01,-1.208233965846780000e+00,7.027007376635758806e-01
4.054054054054054390e+00,4.756336749758947491e+00,1.111093890269713724e-01,-1.171986934282276405e+00,7.469545952685266998e-01
4.104104104104104422e+00,4.760533755248270715e+00,5.678626247878951205e-02,-1.133595547671281567e+00,7.865087269038286699e-01
4.154154154154154455e+00,4.762037220526861070e+00,3.511414011992290002e-03,-1.093185077026923357e+00,8.270772893880692367e-01
4.204204204204204487e+00,4.760905630775724262e+00,-4.851487557843764398e-02,-1.050814159006112192e+00,8.659694391173420325e-01
4.254254254254254519e+00,4.757205146043106403e+00,-9.912281225202693169e-02,-1.006567022823101176e+00,9.022739352284914194e-01
