time,x_c,x_c_dot,gamma,gamma_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.002002002002001985e-02,-5.451495389014304055e-03,-4.020790175531527288e-01,1.426349517621814111e-01,1.058914436698762884e+01
4.004004004004003969e-02,-1.369759407835732454e-02,-4.001136967750714146e-01,3.648094408071038686e-01,1.112601755821184213e+01
6.006006006006005954e-02,-2.108521962072811701e-02,-3.339772152023630092e-01,5.805632976789883992e-01,1.036955458982252587e+01
8.008008008008007939e-02,-2.699947501651135673e-02,-2.561698792355785459e-01,7.793342183117637489e-01,9.485927703749100104e+00
1.001001001001000923e-01,-3.133820146342267132e-02,-1.777242060058479289e-01,9.605056493206963752e-01,8.623583832297862628e+00
1.201201201201201191e-01,-3.413827476544264994e-02,-1.026431466954333960e-01,1.124832053560638201e+00,7.793134601975202358e+00
1.401401401401401459e-01,-3.548921921578535033e-02,-3.352080147868936877e-02,1.272905496579798568e+00,7.012971291562904774e+00
1.601601601601601588e-01,-3.552350879861670974e-02,2.906466721081889248e-02,1.405824212419456876e+00,6.267720510622380559e+00
1.801801801801801717e-01,-3.437449420612596895e-02,8.458831166822720904e-02,1.524287649499536768e+00,5.574793614757762583e+00
2.002002002002001846e-01,-3.218032813825143917e-02,1.335671273542644866e-01,1.629342182955597185e+00,4.931318244881802926e+00
2.202202202202202252e-01,-2.906601329568904435e-02,1.767096844131072209e-01,1.722069570208300870e+00,4.333859349556244744e+00
2.402402402402402382e-01,-2.513959076124722136e-02,2.147683023385282830e-01,1.803309105934075340e+00,3.796137751552337125e+00
2.602602602602602788e-01,-2.049433777679217361e-02,2.487127125849486475e-01,1.874336718484987285e+00,3.297916346493203754e+00
2.802802802802802917e-01,-1.520446516882156471e-02,2.792535001899037472e-01,1.935832909905825572e+00,2.858068348963880290e+00
3.003003003003003046e-01,-9.330824932263523039e-03,3.071369423287558242e-01,1.989000923638411855e+00,2.451624748060768244e+00
3.203203203203203175e-01,-2.920841838006465845e-03,3.329276575881793265e-01,2.034409904673607272e+00,2.095137668997884006e+00
3.403403403403403304e-01,3.988723131205398550e-03,3.570892944252349044e-01,2.073070594477649298e+00,1.765781568110322830e+00
3.603603603603603434e-01,1.136896716247169127e-02,3.800337299645388800e-01,2.105446317516386667e+00,1.476961581583605243e+00
3.803803803803803563e-01,1.919890023784933883e-02,4.020224856166691452e-01,2.132348404154757571e+00,1.209676324222209276e+00
4.004004004004003692e-01,2.746171114859514983e-02,4.233491561751201449e-01,2.154146918389534093e+00,9.745551256713920196e-01
4.204204204204204376e-01,3.614632553448873797e-02,4.441545151950564430e-01,2.171479942576327815e+00,7.564957880455969175e-01
4.404404404404404505e-01,4.524378136883701329e-02,4.646463646519142787e-01,2.184644753715193399e+00,5.634932586202866522e-01
4.604604604604604634e-01,5.474919904973885726e-02,4.849024770646930826e-01,2.194131981221432603e+00,3.843705443305113767e-01
4.804804804804804763e-01,6.465884500188556760e-02,5.050650496272089951e-01,2.200190651708178624e+00,2.241556633585953529e-01
5.005005005005005447e-01,7.497173203871404512e-02,5.251859770768042557e-01,2.203183333942431599e+00,7.576919233816048482e-02
5.205205205205205576e-01,8.568772915324918138e-02,5.453545993970975170e-01,2.203330853583126636e+00,-5.897363000428687552e-02
5.405405405405405705e-01,9.680836519220277492e-02,5.656153098464766771e-01,2.200889756572586453e+00,-1.834802131198228492e-01
5.605605605605605835e-01,1.083359841821688457e-01,5.860206224498888394e-01,2.196054362256844694e+00,-2.981619261187044012e-01
5.805805805805805964e-01,1.202738714514833968e-01,6.066087874434221705e-01,2.189007423631787574e+00,-4.043258665508882022e-01
