time,x_c,x_c_dot,gamma,gamma_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.001001001001001062e-01,-1.237082277078505044e-02,-1.015549758218278198e-01,3.423043322892985185e-01,3.250103269905960435e+00
2.002002002002002123e-01,-1.823112357889204727e-02,-1.168637237698964132e-02,6.274024382866515426e-01,2.458246310335480800e+00
3.003003003003003046e-01,-1.421443469794030946e-02,9.350950255032540459e-02,8.377910148799125878e-01,1.761745762052749242e+00
4.004004004004004247e-01,6.830216270618113487e-04,2.046765290722938058e-01,9.834452239154783948e-01,1.165117319536592033e+00
5.005005005005005447e-01,2.680448949849327522e-02,3.173506691829090509e-01,1.074817824060816385e+00,6.756772309763132700e-01
6.006006006006006093e-01,6.420838097805668665e-02,4.298755834605809678e-01,1.121985650118560995e+00,2.812956686796089234e-01
7.007007007007007848e-01,1.128312243052225633e-01,5.413756645696451431e-01,1.133861019651386304e+00,-3.150327321844480222e-02
8.008008008008008494e-01,1.725328098245710318e-01,6.511001925405770496e-01,1.117959096255910723e+00,-2.758884259142903028e-01
9.009009009009009139e-01,2.430952814659019801e-01,7.582122385345276827e-01,1.080465081054054588e+00,-4.643433006628753246e-01
1.001001001001001089e+00,3.242094906033617940e-01,8.617564973179253629e-01,1.026433729603468237e+00,-6.080541417846604402e-01
1.101101101101101154e+00,4.154632159600033514e-01,9.606188048234860499e-01,9.599968775601258608e-01,-7.134744674363130423e-01
1.201201201201201219e+00,5.163343711196531904e-01,1.053694697550848325e+00,8.846130333071955398e-01,-7.863716963460737341e-01
1.301301301301301283e+00,6.261929467823418305e-01,1.140031640818519376e+00,8.032498243811228011e-01,-8.338155295959158719e-01
1.401401401401401570e+00,7.443136639803318300e-01,1.218670660700844399e+00,7.184420161055491416e-01,-8.567198507426856402e-01
1.501501501501501634e+00,8.698922533839011928e-01,1.288942864983431358e+00,6.324305181765094153e-01,-8.581752547868389813e-01
1.601601601601601699e+00,1.002069679289542936e+00,1.350450645625718371e+00,5.471804225642493691e-01,-8.414222489430276397e-01
1.701701701701701763e+00,1.139958884749699530e+00,1.403099874144836168e+00,4.643955923020889887e-01,-8.103902145839817495e-01
1.801801801801801828e+00,1.282673541387212790e+00,1.446883399676465620e+00,3.854786325149690551e-01,-7.640166492723237113e-01
1.901901901901902114e+00,1.429350019524986859e+00,1.482361007810669262e+00,3.116221483501807055e-01,-7.104105411583871987e-01
2.002002002002002179e+00,1.579173971176433211e+00,1.509881558629812881e+00,2.436715709832443233e-01,-6.466186579468538032e-01
2.102102102102102243e+00,1.731392041581215624e+00,1.530296104143225477e+00,1.822684044873656151e-01,-5.793457471840439688e-01
2.202202202202202308e+00,1.885327126258408592e+00,1.544335111404131711e+00,1.277639281503957225e-01,-5.094683853544670349e-01
2.302302302302302373e+00,2.040383034650193217e+00,1.552848694284562958e+00,8.029195616967266247e-02,-4.396622641865668979e-01
2.402402402402402437e+00,2.196047550149907490e+00,1.556634715834127602e+00,3.977550403882093577e-02,-3.708307358900711503e-01
2.502502502502502502e+00,2.351890460976555186e+00,1.556525529983091793e+00,5.978991848279120030e-03,-3.051335071970957546e-01
2.602602602602602566e+00,2.507560253629838254e+00,1.553289014885231856e+00,-2.147007209424205837e-02,-2.439510002827689761e-01
2.702702702702703075e+00,2.662778572634412200e+00,1.547613178998801020e+00,-4.304754308572674576e-02,-1.878663665775978930e-01
2.802802802802803139e+00,2.817333383484740050e+00,1.540129693197340943e+00,-5.929608605558804590e-02,-1.375202476087703796e-01
2.902902902902903204e+00,2.971071860185820590e+00,1.531393332254249007e+00,-7.079992500570586600e-02,-9.320770636724992619e-02
3.003003003003003268e+00,3.123892980835810906e+00,1.521879390865739756e+00,-7.816114084453779087e-02,-5.486395701766114130e-02
3.103103103103103333e+00,3.275740111517095876e+00,1.511996596682116722e+00,-8.197791291693289073e-02,-2.239634852857709871e-02
3.203203203203203397e+00,3.426593960762250202e+00,1.502084213050459471e+00,-8.282960073518673416e-02,4.440330960252760265e-03
3.303303303303303462e+00,3.576465880904754258e+00,1.492417756405795215e+00,-8.126429166030267603e-02,2.597562188660895374e-02
3.403403403403403527e+00,3.725391685458582014e+00,1.483210498782993270e+00,-7.779046498528081888e-02,4.268900589634953835e-02
3.503503503503503591e+00,3.873425944019891709e+00,1.474626346007481104e+00,-7.286974691637733426e-02,5.499494736450334653e-02
3.603603603603603656e+00,4.020636922620542286e+00,1.466783108708740624e+00,-6.691373975959384601e-02,6.329062004914957906e-02
3.703703703703703720e+00,4.167102234816232986e+00,1.459738521594088789e+00,-6.028573971329315162e-02,6.846081639201301305e-02
3.803803803803804229e+00,4.312904707347944289e+00,1.453538471066046833e+00,-5.329394685449963254e-02,7.075920175414285307e-02
3.903903903903904293e+00,4.458129319408701718e+00,1.448188247941927020e+00,-4.619859585377817518e-02,7.069990607577800179e-02
4.004004004004004358e+00,4.602860405007027644e+00,1.443672268025971706e+00,-3.921215262736905266e-02,6.867739182065535353e-02
4.104104104104104422e+00,4.747179520688165510e+00,1.439952476216651789e+00,-3.250371787942767793e-02,6.513576731817644072e-02
4.204204204204204487e+00,4.891163758638541914e+00,1.436973787743166975e+00,-2.620275350099037989e-02,6.054463287251014847e-02
4.304304304304304551e+00,5.034884455375293832e+00,1.434676882830733469e+00,-2.040187166828177912e-02,5.517198532124469729e-02
4.404404404404404616e+00,5.178406425606993047e+00,1.432989450621769523e+00,-1.516322348273392746e-02,4.940781565073803366e-02
4.504504504504504681e+00,5.321787365711123208e+00,1.431844391322615762e+00,-1.052042122773460750e-02,4.337164762059929346e-02
4.604604604604604745e+00,5.465077733264147142e+00,1.431167680821895383e+00,-6.485224899957300025e-03,3.729975645577285337e-02
4.704704704704704810e+00,5.608320736591265288e+00,1.430886489505412529e+00,-3.050645695824351529e-03,3.139184530107378551e-02
