time,x_c,x_c_dot,gamma,gamma_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00
5.005005005005005309e-02,-1.208273425852855916e-02,-2.442014739456427885e-01,4.273386066052878296e-01,7.101705476447927268e+00
1.001001001001001062e-01,-2.198066359103108616e-02,-1.481650876280153628e-01,7.607042911174348720e-01,6.229026255826241254e+00
1.501501501501501523e-01,-2.670896803798736979e-02,-4.022894849938690731e-02,1.050727777213119163e+00,5.368680300451352139e+00
2.002002002002002123e-01,-2.603733745457993687e-02,6.612339732045838248e-02,1.298874886053527966e+00,4.554908644515428762e+00
2.502502502502502724e-01,-2.022751826613370524e-02,1.644499117799989307e-01,1.507521376749257902e+00,3.788287862751997359e+00
3.003003003003003046e-01,-9.756091252959720600e-03,2.522623915982857845e-01,1.679530060210785658e+00,3.097419596816266996e+00
3.503503503503503924e-01,4.859286007520427844e-03,3.302532698685170520e-01,1.818677182934955061e+00,2.474988431628826646e+00
4.004004004004004247e-01,2.316473857216340068e-02,4.000471647899877525e-01,1.928751560912146834e+00,1.934445512857592586e+00
4.504504504504504570e-01,4.480079990014667474e-02,4.636619821676788988e-01,2.013623390680562508e+00,1.469640884486974830e+00
5.005005005005005447e-01,6.950384379595493656e-02,5.228676265189590167e-01,2.076893456437107321e+00,1.068445274297019632e+00
5.505505505505505770e-01,9.709096473895406643e-02,5.791187209733505981e-01,2.121655762160626679e+00,7.277082656866217247e-01
6.006006006006006093e-01,1.274435156598657803e-01,6.335451002599907788e-01,2.150622904038412830e+00,4.376142894608610612e-01
6.506506506506506415e-01,1.604926255972026206e-01,6.869987454849859621e-01,2.166095107794834274e+00,1.872053418286784010e-01
7.007007007007007848e-01,1.962072710651576735e-01,7.401544588326102181e-01,2.169938987044312650e+00,-2.859277500320177301e-02
7.507507507507508171e-01,2.345857863175096203e-01,7.935211631614361716e-01,2.163704632863554966e+00,-2.165346827548602637e-01
8.008008008008008494e-01,2.756489766980360634e-01,8.474914723496496105e-01,2.148645177522340965e+00,-3.819751264089127907e-01
8.508508508508508816e-01,3.194348806224099335e-01,9.023613790997550010e-01,2.125771344764350257e+00,-5.300427822876961903e-01
