time,x_c,x_c_dot,gamma,gamma_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00
5.005005005005005309e-02,4.889280293329345377e-04,1.322989519864016181e-02,9.077609186677081110e-02,-2.075877187824654302e-01
1.001001001001001062e-01,1.261856792263439751e-03,1.756056619058665724e-02,8.059506014472028745e-02,-1.991542589292298604e-01
1.501501501501501523e-01,2.237127687225392691e-03,2.132185289302945472e-02,7.085574351915473190e-02,-1.899987035089336640e-01
2.002002002002002123e-01,3.387145260510007055e-03,2.455971477709403133e-02,6.158670643403652001e-02,-1.806735570188185147e-01
2.502502502502502724e-01,4.686146088244656782e-03,2.726795704760858266e-02,5.280186699142068452e-02,-1.703481249817637710e-01
3.003003003003003046e-01,6.109351167204651011e-03,2.952816192303256079e-02,4.452390867652635670e-02,-1.604364792261565309e-01
3.503503503503503924e-01,7.634107140126064617e-03,3.133300815713655624e-02,3.675584233894604869e-02,-1.500358816163733788e-01
4.004004004004004247e-01,9.239039441476236750e-03,3.272146228147144315e-02,2.950361133685749926e-02,-1.394300167594036965e-01
4.504504504504504570e-01,1.090420333231304634e-02,3.375433375937086228e-02,2.277254605397532883e-02,-1.294627904866290646e-01
5.005005005005005447e-01,1.261167195261499521e-02,3.441885998917729866e-02,1.655222432409032135e-02,-1.190785238103451438e-01
5.505505505505505770e-01,1.434457796434197331e-02,3.477628310578022991e-02,1.084101787206542128e-02,-1.091409414426437047e-01
6.006006006006006093e-01,1.608782377897081603e-02,3.484413803459200654e-02,5.627273380335723330e-03,-9.939588927605107205e-02
6.506506506506506415e-01,1.782775157671436655e-02,3.464185842623590528e-02,8.971577561892184367e-04,-8.965390569745149141e-02
7.007007007007007848e-01,1.955189744915063546e-02,3.422206289767303761e-02,-3.359860057457709267e-03,-8.060201428568485038e-02
7.507507507507508171e-01,2.124949470409381175e-02,3.358245495596948182e-02,-7.165045388970860823e-03,-7.153047982149308981e-02
8.008008008008008494e-01,2.291075304939994492e-02,3.277067743735111172e-02,-1.053294431645588648e-02,-6.304444903336649253e-02
8.508508508508508816e-01,2.452731944218203286e-02,3.180165846295690546e-02,-1.348457535010771403e-02,-5.493048714588052300e-02
9.009009009009009139e-01,2.609195474994343428e-02,3.069858503536777861e-02,-1.604045343100032883e-02,-4.721687628116803120e-02
9.509509509509510572e-01,2.759850102644070477e-02,2.948758714388789032e-02,-1.822119594792804068e-02,-4.003755933963144831e-02
1.001001001001001089e+00,2.904193487763927564e-02,2.817860248580575724e-02,-2.005040864718714289e-02,-3.313863154825587992e-02
1.051051051051051122e+00,3.041807530610219842e-02,2.680079137315804008e-02,-2.154868227864955091e-02,-2.679405495583575200e-02
1.101101101101101154e+00,3.172375038702641287e-02,2.536536090523198311e-02,-2.273946843796402842e-02,-2.084537671237594869e-02
1.151151151151151186e+00,3.295656306596014828e-02,2.389186374238310567e-02,-2.364460668860300999e-02,-1.538135194696177085e-02
1.201201201201201219e+00,3.411491901315124448e-02,2.239318436914065208e-02,-2.428662038047090313e-02,-1.034981279716129868e-02
1.251251251251251251e+00,3.519791593493622889e-02,2.088263839802801877e-02,-2.468741866068575180e-02,-5.740739918733066965e-03
1.301301301301301283e+00,3.620528604379659454e-02,1.937291879620429633e-02,-2.486834841060459739e-02,-1.558468486115311552e-03
1.351351351351351537e+00,3.713734157328067026e-02,1.787486317384709422e-02,-2.485029244639240520e-02,2.210894132656045577e-03
1.401401401401401570e+00,3.799490881135755838e-02,1.639838009437971297e-02,-2.465343098723521073e-02,5.576399104501477896e-03
1.451451451451451602e+00,3.877928001580889517e-02,1.495092343369363620e-02,-2.429741876847260271e-02,8.582669451060825211e-03
1.501501501501501634e+00,3.949213939378264787e-02,1.354047373547113964e-02,-2.380083979798629235e-02,1.123394648766363330e-02
1.551551551551551666e+00,4.013550730620205065e-02,1.217606413278599087e-02,-2.318107636085628073e-02,1.348167364311355157e-02
1.601601601601601699e+00,4.071174576927016203e-02,1.085905468860908288e-02,-2.245570157951895171e-02,1.545121788280130921e-02
1.651651651651651731e+00,4.122342506646006072e-02,9.596829487599319725e-03,-2.164021956127558724e-02,1.708921116495771414e-02
1.701701701701701763e+00,4.167334672498639037e-02,8.392226397437115362e-03,-2.074978047779851842e-02,1.843802550267464868e-02
1.751751751751751796e+00,4.206448288570500960e-02,7.246656642355608566e-03,-1.979866813251821359e-02,1.955650995536070344e-02
1.801801801801801828e+00,4.239989615622270780e-02,6.166778741164973508e-03,-1.879921522967951258e-02,2.034889999965625376e-02
1.851851851851851860e+00,4.268280022630960985e-02,5.149370418301590750e-03,-1.776428762507103673e-02,2.095709091453737058e-02
1.901901901901902114e+00,4.291642973654089671e-02,4.196828616996560284e-03,-1.670477167436178190e-02,2.136147262085742737e-02
1.951951951951952147e+00,4.310404692061307191e-02,3.311483171521165808e-03,-1.563052838440411041e-02,2.152920294224114350e-02
2.002002002002002179e+00,4.324895424430076629e-02,2.489397382972439749e-03,-1.455143619588895529e-02,2.157570297579287574e-02
2.052052052052052211e+00,4.335439120579168137e-02,1.732915537152484621e-03,-1.347537585625788355e-02,2.144172086712862330e-02
2.102102102102102243e+00,4.342357219333897733e-02,1.041304830224862874e-03,-1.240979701692824025e-02,2.113637334105921209e-02
2.152152152152152276e+00,4.345967487391395184e-02,4.096132888085052921e-04,-1.136194567783047060e-02,2.076784696446004261e-02
2.202202202202202308e+00,4.346573970586188607e-02,-1.580390117795104005e-04,-1.033673664177624935e-02,2.020112597925621464e-02
2.252252252252252340e+00,4.344479114170525513e-02,-6.698844609515512737e-04,-9.340297860310773151e-03,1.961265360653875051e-02
2.302302302302302373e+00,4.339968037907048631e-02,-1.123547228111578802e-03,-8.376266733622688906e-03,1.889811767752542365e-02
2.352352352352352405e+00,4.333319051817930562e-02,-1.524279086139156266e-03,-7.448815698897946584e-03,1.814460743596920528e-02
