time,x_c,x_c_dot,gamma,gamma_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.003003003003002977e-02,-4.833049577999045179e-03,-2.134350848081523200e-01,1.266062939413334643e-01,5.639547674607751304e+00
6.006006006006005954e-02,-1.095980186125908827e-02,-1.883246370975333039e-01,2.926667811584172108e-01,5.291047815315509162e+00
9.009009009009008584e-02,-1.600803476448119794e-02,-1.469907837475731838e-01,4.425091706082885379e-01,4.686662721325471459e+00
1.201201201201201191e-01,-1.975939198613306871e-02,-1.025543241288607993e-01,5.744088575789996209e-01,4.102824988022399921e+00
1.501501501501501523e-01,-2.216113478190211150e-02,-5.725087342403120672e-02,6.893370703739637451e-01,3.553944441416094335e+00
1.801801801801801717e-01,-2.320540993129245957e-02,-1.237489349179425602e-02,7.883751727597848591e-01,3.047466402384710893e+00
2.102102102102102188e-01,-2.291353639563351377e-02,3.163563096639670363e-02,8.727602953372040062e-01,2.579061567554652434e+00
2.402402402402402382e-01,-2.131680616038372431e-02,7.445372875732825246e-02,9.436503712689516821e-01,2.150372228697043031e+00
2.702702702702702853e-01,-1.845232257402462661e-02,1.160690566653171663e-01,1.002224570507551649e+00,1.758819385369178923e+00
3.003003003003003046e-01,-1.435718754203310979e-02,1.566178033865037456e-01,1.049639846086968920e+00,1.399808129752176722e+00
3.303303303303303240e-01,-9.061090565020270965e-03,1.959566723712434788e-01,1.086821324845623105e+00,1.081398925725584714e+00
3.603603603603603434e-01,-2.596214378000131964e-03,2.344536830517200687e-01,1.114874103804462502e+00,7.925082200801601973e-01
3.903903903903903627e-01,5.012911732406919937e-03,2.721979934347656949e-01,1.134694574129703648e+00,5.321179289053573624e-01
4.204204204204204376e-01,1.374502295408375208e-02,3.092899124677030431e-01,1.147116483756949190e+00,2.981116369291947343e-01
4.504504504504504570e-01,2.358220110422424090e-02,3.457766142707896506e-01,1.152881652191310780e+00,8.967937847167556376e-02
4.804804804804804763e-01,3.450753673638201624e-02,3.817662767712091676e-01,1.152709870744748288e+00,-9.754685801347134921e-02
5.105105105105105512e-01,4.650634194121998355e-02,4.172813481622345555e-01,1.147219794052682262e+00,-2.651947411463433935e-01
5.405405405405405705e-01,5.956456473942595142e-02,4.523253273955527565e-01,1.136971169426545192e+00,-4.148356299795479263e-01
5.705705705705705899e-01,7.366822001638735629e-02,4.868808162171572862e-01,1.122468694259385336e+00,-5.477997909512948294e-01
6.006006006006006093e-01,8.880214377589266961e-02,5.209649046082113211e-01,1.104196505824068808e+00,-6.673226106504774879e-01
6.306306306306306286e-01,1.049514189944538434e-01,5.544909985810915209e-01,1.082546947766464207e+00,-7.727367107306859495e-01
6.606606606606606480e-01,1.220993157440103810e-01,5.873966329721602708e-01,1.057896514727560522e+00,-8.647610222647110767e-01
6.906906906906906674e-01,1.402253940800507193e-01,6.197713769304710185e-01,1.030668763262918786e+00,-9.500626481578925420e-01
7.207207207207206867e-01,1.593122964658555685e-01,6.513187592248338431e-01,1.001070181191307418e+00,-1.020564715874866080e+00
7.507507507507507061e-01,1.793359734575587783e-01,6.820966482096479933e-01,9.694643209646638393e-01,-1.081938444017622292e+00
7.807807807807807254e-01,2.002716903998372489e-01,7.120525743468185675e-01,9.361377833973036910e-01,-1.135430533345192838e+00
8.108108108108108558e-01,2.220925599133538042e-01,7.411347998169816043e-01,9.013590405366155300e-01,-1.182163877486060999e+00
8.408408408408408752e-01,2.447718973902286432e-01,7.691033189574721929e-01,8.653026180927821942e-01,-1.216763518380567177e+00
